k,depth,peaks,epochs,theory_crossover,deep_mse_mu,deep_mse_sd,shallow_mse_mu,shallow_mse_sd,sigma_star,eps_star_fgsm,sigma_star_over_theory,eps_star_over_theory
2,5,4,60000,0.25,1.3856884942609463e-10,2.7679490789641046e-10,2.1920295162347615e-10,1.683657859015379e-10,,,,
3,7,8,30000,0.125,0.026204267783463565,0.026170131669371443,0.03570353575050831,0.01146631072935004,0.05,0.12,0.4,0.96
4,9,16,30000,0.0625,0.027797962334761905,0.024816968088053976,0.04210978671908379,0.0085526064176051,0.018,0.03,0.288,0.48
5,11,32,40000,0.03125,0.0712921604514122,0.013527966089756706,0.07182315289974213,0.0025291074960558223,0.008,0.018,0.256,0.576
6,13,64,50000,0.015625,0.08347216248512268,0.0,0.0803249090909958,0.0009683610170740937,,,,
